-0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.27, -0.32, 0.91, 1.74, -0.25, 153.67

-0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.32, -0.32, 0.89, 1.71, 0.27, 153.78

-0.00, -0.00, -0.01, -0.02, 0.01, 1.00, -0.32, -0.32, 0.89, 1.63, 0.35, 153.87

-0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.32, -0.32, 0.89, 1.60, 0.52, 153.94

0.00, -0.00, -0.00, -0.02, 0.01, 1.00, -0.32, -0.33, 0.89, 1.43, 0.47, 153.96

-0.00, -0.01, -0.00, -0.02, 0.01, 1.00, -0.32, -0.33, 0.89, 1.36, 0.47, 154.01

0.00, -0.00, 0.01, -0.02, 0.01, 1.00, -0.32, -0.33, 0.89, 1.32, 0.53, 154.04

-0.00, 0.00, 0.00, -0.01, 0.01, 1.00, -0.29, -0.32, 0.90, 1.55, 0.08, 153.99

0.00, 0.00, -0.00, -0.02, 0.01, 1.00, -0.29, -0.32, 0.90, 1.56, -0.06, 153.97

0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.29, -0.32, 0.90, 1.68, -0.07, 153.96

0.00, 0.00, -0.00, -0.01, 0.01, 1.00, -0.28, -0.32, 0.90, 1.73, -0.24, 153.87

0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.28, -0.32, 0.90, 1.64, -0.09, 153.80

0.00, -0.00, -0.00, -0.02, 0.01, 1.00, -0.29, -0.31, 0.90, 1.69, 0.05, 153.82

0.00, -0.00, -0.00, -0.02, 0.01, 1.00, -0.29, -0.31, 0.90, 1.73, -0.05, 153.83

0.00, -0.01, -0.01, -0.02, 0.01, 1.00, -0.29, -0.31, 0.90, 1.82, -0.08, 153.85

-0.00, 0.01, -0.00, -0.02, 0.01, 1.00, -0.30, -0.30, 0.91, 1.85, 0.10, 153.92

0.00, -0.00, -0.01, -0.02, 0.01, 1.00, -0.30, -0.30, 0.91, 1.91, 0.14, 153.98

-0.00, -0.00, -0.00, -0.02, 0.01, 1.00, -0.30, -0.30, 0.91, 1.95, 0.25, 154.03

0.00, -0.00, 0.00, -0.02, 0.01, 1.00, -0.31, -0.31, 0.90, 1.86, 0.27, 154.10

-0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.31, -0.31, 0.90, 1.92, 0.28, 154.17

-0.00, -0.00, -0.01, -0.02, 0.01, 1.00, -0.30, -0.32, 0.90, 1.66, 0.14, 154.15

0.00, -0.00, 0.00, -0.02, 0.01, 1.00, -0.30, -0.32, 0.90, 1.70, 0.19, 154.14

0.00, -0.00, 0.00, -0.02, 0.01, 1.00, -0.30, -0.32, 0.90, 1.78, 0.14, 154.13

0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.29, -0.32, 0.90, 1.71, 0.17, 154.11

-0.00, -0.00, 0.00, -0.02, 0.01, 1.00, -0.29, -0.32, 0.90, 1.65, 0.19, 154.10

-0.00, 0.00, 0.00, -0.02, 0.01, 1.00, -0.29, -0.32, 0.90, 1.79, 0.13, 154.08

0.00, -0.00, -0.00, -0.02, 0.01, 1.00, -0.31, -0.30, 0.90, 2.04, 0.25, 154.20

